 Rows: Electric field / N (Td)                                         
  0.1000    
  0.3767    
   1.207    
   2.591    
   4.528    
   7.018    
   10.06    
   13.66    
   17.81    
   22.52    
   27.77    
   33.58    
   39.95    
   46.87    
   54.34    
   62.36    
   70.94    
   80.08    
   89.76    
   100.0    
 
 Columns: Mole fraction Ar
   1.000      0.7500      0.5000      0.2500       0.000    
 
 Columns: Mole fraction N2
   0.000      0.2500      0.5000      0.7500       1.000    
 
 Mean energy (eV)                                                
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
 
 Diffusion coefficient *N (1/m/s)                                
  0.2463E+26  0.3666E+25  0.1804E+25  0.1249E+25  0.1019E+25
  0.1604E+26  0.4708E+25  0.2329E+25  0.1502E+25  0.1119E+25
  0.1143E+26  0.5117E+25  0.2889E+25  0.1921E+25  0.1395E+25
  0.9233E+25  0.5162E+25  0.3069E+25  0.2137E+25  0.1610E+25
  0.8142E+25  0.5144E+25  0.3120E+25  0.2217E+25  0.1702E+25
  0.7940E+25  0.5097E+25  0.3130E+25  0.2246E+25  0.1742E+25
  0.7894E+25  0.5058E+25  0.3114E+25  0.2255E+25  0.1759E+25
  0.7833E+25  0.5005E+25  0.3099E+25  0.2246E+25  0.1764E+25
  0.7757E+25  0.4953E+25  0.3079E+25  0.2237E+25  0.1755E+25
  0.7674E+25  0.4908E+25  0.3058E+25  0.2226E+25  0.1750E+25
  0.7588E+25  0.4883E+25  0.3048E+25  0.2214E+25  0.1743E+25
  0.7504E+25  0.4880E+25  0.3053E+25  0.2206E+25  0.1736E+25
  0.7424E+25  0.4887E+25  0.3097E+25  0.2203E+25  0.1729E+25
  0.7347E+25  0.4902E+25  0.3185E+25  0.2223E+25  0.1725E+25
  0.7273E+25  0.4910E+25  0.3301E+25  0.2273E+25  0.1734E+25
  0.7201E+25  0.4925E+25  0.3441E+25  0.2354E+25  0.1760E+25
  0.7132E+25  0.4937E+25  0.3586E+25  0.2488E+25  0.1812E+25
  0.7064E+25  0.4946E+25  0.3721E+25  0.2640E+25  0.1907E+25
  0.6997E+25  0.4954E+25  0.3841E+25  0.2804E+25  0.2026E+25
  0.6932E+25  0.4963E+25  0.3945E+25  0.2976E+25  0.2183E+25
 
 Longitud. diffusion coef. *N (1/m/s)                            
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000    
