BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R662  2.03 Td    10.7 eV                                        
R663  2.06 Td    10.8 eV                                        
R664  2.08 Td    10.8 eV                                        
R665  2.11 Td    10.8 eV                                        
R666  2.13 Td    10.8 eV                                        
R667  2.15 Td    10.8 eV                                        
R668  2.18 Td    10.9 eV                                        
R669  2.20 Td    10.9 eV                                        
R670  2.23 Td    10.9 eV                                        
R671  2.26 Td    10.9 eV                                        
R672  2.28 Td    11.0 eV                                        
R673  2.31 Td    11.0 eV                                        
R674  2.34 Td    11.0 eV                                        
R675  2.36 Td    11.0 eV                                        
R676  2.39 Td    11.1 eV                                        
R677  2.42 Td    11.1 eV                                        
R678  2.45 Td    11.1 eV                                        
R679  2.47 Td    11.1 eV                                        
R680  2.50 Td    11.1 eV                                        
R681  2.53 Td    11.2 eV                                        
R682  2.56 Td    11.2 eV                                        
R683  2.59 Td    11.2 eV                                        
R684  2.62 Td    11.3 eV                                        
R685  2.65 Td    11.3 eV                                        
R686  2.68 Td    11.3 eV                                        
R687  2.71 Td    11.3 eV                                        
R688  2.74 Td    11.4 eV                                        
R689  2.78 Td    11.4 eV                                        
R690  2.81 Td    11.4 eV                                        
R691  2.84 Td    11.4 eV                                        
R692  2.87 Td    11.5 eV                                        
R693  2.91 Td    11.5 eV                                        
R694  2.94 Td    11.5 eV                                        
R695  2.97 Td    11.6 eV                                        
R696  3.01 Td    11.6 eV                                        
R697  3.04 Td    11.6 eV                                        
R698  3.08 Td    11.6 eV                                        
R699  3.12 Td    11.7 eV                                        
R700  3.15 Td    11.7 eV                                        
R701  3.19 Td    11.7 eV                                        
R702  3.22 Td    11.8 eV                                        
R703  3.26 Td    11.8 eV                                        
R704  3.30 Td    11.8 eV                                        
R705  3.34 Td    11.9 eV                                        
R706  3.38 Td    11.9 eV                                        
R707  3.42 Td    11.9 eV                                        
R708  3.46 Td    11.9 eV                                        
R709  3.50 Td    12.0 eV                                        
R710  3.54 Td    12.0 eV                                        
R711  3.58 Td    12.0 eV                                        
R712  3.62 Td    12.1 eV                                        
R713  3.66 Td    12.1 eV                                        
R714  3.70 Td    12.1 eV                                        
R715  3.75 Td    12.2 eV                                        
R716  3.79 Td    12.2 eV                                        
R717  3.83 Td    12.2 eV                                        
R718  3.88 Td    12.3 eV                                        
R719  3.92 Td    12.3 eV                                        
R720  3.97 Td    12.4 eV                                        
R721  4.01 Td    12.4 eV                                        
R722  4.06 Td    12.4 eV                                        
R723  4.11 Td    12.5 eV                                        
R724  4.16 Td    12.5 eV                                        
R725  4.20 Td    12.5 eV                                        
R726  4.25 Td    12.6 eV                                        
R727  4.30 Td    12.6 eV                                        
R728  4.35 Td    12.7 eV                                        
R729  4.40 Td    12.7 eV                                        
R730  4.45 Td    12.8 eV                                        
R731  4.50 Td    12.8 eV                                        
R732  4.56 Td    12.8 eV                                        
R733  4.61 Td    12.9 eV                                        
R734  4.66 Td    12.9 eV                                        
R735  4.72 Td    13.0 eV                                        
R736  4.77 Td    13.0 eV                                        
R737  4.83 Td    13.1 eV                                        
R738  4.88 Td    13.1 eV                                        
R739  4.94 Td    13.1 eV                                        
R740  5.00 Td    13.2 eV                                        
R741  5.05 Td    13.2 eV                                        
R742  5.11 Td    13.3 eV                                        
R743  5.17 Td    13.3 eV                                        
R744  5.23 Td    13.4 eV                                        
R745  5.29 Td    13.4 eV                                        
R746  5.35 Td    13.5 eV                                        
R747  5.42 Td    13.5 eV                                        
R748  5.48 Td    13.6 eV                                        
R749  5.54 Td    13.6 eV                                        
R750  5.61 Td    13.7 eV                                        
R751  5.67 Td    13.7 eV                                        
R752  5.74 Td    13.8 eV                                        
R753  5.80 Td    13.8 eV                                        
R754  5.87 Td    13.9 eV                                        
R755  5.94 Td    14.0 eV                                        
R756  6.01 Td    14.0 eV                                        
R757  6.08 Td    14.1 eV                                        
R758  6.15 Td    14.1 eV                                        
R759  6.22 Td    14.2 eV                                        
R760  6.29 Td    14.2 eV                                        
R761  6.37 Td    14.3 eV                                        
R762  6.44 Td    14.4 eV                                        
R763  6.51 Td    14.4 eV                                        
R764  6.59 Td    14.5 eV                                        
R765  6.67 Td    14.6 eV                                        
R766  6.74 Td    14.6 eV                                        
R767  6.82 Td    14.7 eV                                        
R768  6.90 Td    14.8 eV                                        
R769  6.98 Td    14.8 eV                                        
R770  7.06 Td    14.9 eV                                        
R771  7.14 Td    15.0 eV                                        
R772  7.23 Td    15.0 eV                                        
R773  7.31 Td    15.1 eV                                        
R774  7.39 Td    15.2 eV                                        
R775  7.48 Td    15.2 eV                                        
R776  7.57 Td    15.3 eV                                        
R777  7.65 Td    15.4 eV                                        
R778  7.74 Td    15.5 eV                                        
R779  7.83 Td    15.5 eV                                        
R780  7.92 Td    15.6 eV                                        
R781  8.02 Td    15.7 eV                                        
R782  8.11 Td    15.8 eV                                        
R783  8.20 Td    15.9 eV                                        
R784  8.30 Td    15.9 eV                                        
R785  8.39 Td    16.0 eV                                        
R786  8.49 Td    16.1 eV                                        
R787  8.59 Td    16.2 eV                                        
R788  8.69 Td    16.3 eV                                        
R789  8.79 Td    16.4 eV                                        
R790  8.89 Td    16.5 eV                                        
R791  8.99 Td    16.5 eV                                        
R792  9.10 Td    16.6 eV                                        
R793  9.20 Td    16.7 eV                                        
R794  9.31 Td    16.8 eV                                        
R795  9.42 Td    16.9 eV                                        
R796  9.53 Td    17.0 eV                                        
R797  9.64 Td    17.1 eV                                        
R798  9.75 Td    17.2 eV                                        
R799  9.86 Td    17.3 eV                                        
R800  9.98 Td    17.4 eV                                        
R801  10.1 Td    17.5 eV                                        
R802  10.2 Td    17.6 eV                                        
R803  10.3 Td    17.7 eV                                        
R804  10.4 Td    17.9 eV                                        
R805  10.6 Td    18.0 eV                                        
R806  10.7 Td    18.1 eV                                        
R807  10.8 Td    18.2 eV                                        
R808  10.9 Td    18.3 eV                                        
R809  11.1 Td    18.4 eV                                        
R810  11.2 Td    18.6 eV                                        
R811  11.3 Td    18.7 eV                                        
R812  11.5 Td    18.8 eV                                        
R813  11.6 Td    18.9 eV                                        
R814  11.7 Td    19.1 eV                                        
R815  11.9 Td    19.2 eV                                        
R816  12.0 Td    19.3 eV                                        
R817  12.1 Td    19.5 eV                                        
R818  12.3 Td    19.6 eV                                        
R819  12.4 Td    19.8 eV                                        
R820  12.6 Td    19.9 eV                                        
R821  12.7 Td    20.1 eV                                        
R822  12.9 Td    20.2 eV                                        
R823  13.0 Td    20.4 eV                                        
R824  13.2 Td    20.5 eV                                        
R825  13.3 Td    20.7 eV                                        
R826  13.5 Td    20.9 eV                                        
R827  13.6 Td    21.0 eV                                        
R828  13.8 Td    21.2 eV                                        
R829  13.9 Td    21.4 eV                                        
R830  14.1 Td    21.6 eV                                        
R831  14.3 Td    21.7 eV                                        
R832  14.4 Td    21.9 eV                                        
R833  14.6 Td    22.1 eV                                        
R834  14.8 Td    22.3 eV                                        
R835  14.9 Td    22.5 eV                                        
R836  15.1 Td    22.7 eV                                        
R837  15.3 Td    22.9 eV                                        
R838  15.5 Td    23.2 eV                                        
R839  15.6 Td    23.4 eV                                        
R840  15.8 Td    23.6 eV                                        
R841  16.0 Td    23.8 eV                                        
R842  16.2 Td    24.1 eV                                        
R843  16.4 Td    24.3 eV                                        
R844  16.6 Td    24.6 eV                                        
R845  16.8 Td    24.8 eV                                        
R846  17.0 Td    25.1 eV                                        
R847  17.1 Td    25.4 eV                                        
R848  17.3 Td    25.6 eV                                        
R849  17.5 Td    25.9 eV                                        
R850  17.8 Td    26.2 eV                                        
R851  18.0 Td    26.5 eV                                        
R852  18.2 Td    26.8 eV                                        
R853  18.4 Td    27.2 eV                                        
R854  18.6 Td    27.5 eV                                        
R855  18.8 Td    27.9 eV                                        
R856  19.0 Td    28.2 eV                                        
R857  19.2 Td    28.6 eV                                        
R858  19.5 Td    29.0 eV                                        
R859  19.7 Td    29.4 eV                                        
R860  19.9 Td    29.8 eV                                        
R861  20.2 Td    30.3 eV                                        
R862  20.4 Td    Failed                                         
R863  20.6 Td    Failed                                         
R864  20.9 Td    Failed                                         
R865  21.1 Td    Failed                                         
R866  21.3 Td    Failed                                         
R867  21.6 Td    Failed                                         
R868  21.8 Td    Failed                                         
R869  22.1 Td    Failed                                         
R870  22.4 Td    Failed                                         
R871  22.6 Td    Failed                                         
R872  22.9 Td    Failed                                         
R873  23.1 Td    Failed                                         
R874  23.4 Td    Failed                                         
R875  23.7 Td    Failed                                         
R876  24.0 Td    Failed                                         
R877  24.2 Td    Failed                                         
R878  24.5 Td    Failed                                         
R879  24.8 Td    Failed                                         
R880  25.1 Td    Failed                                         
R881  25.4 Td    Failed                                         
R882  25.7 Td    Failed                                         
R883  26.0 Td    Failed                                         
R884  26.3 Td    Failed                                         
R885  26.6 Td    Failed                                         
R886  26.9 Td    Failed                                         
R887  27.2 Td    Failed                                         
R888  27.5 Td    Failed                                         
R889  27.8 Td    Failed                                         
R890  28.1 Td    Failed                                         
R891  28.5 Td    Failed                                         
R892  28.8 Td    Failed                                         
R893  29.1 Td    Failed                                         
R894  29.5 Td    Failed                                         
R895  29.8 Td    Failed                                         
R896  30.2 Td    Failed                                         
R897  30.5 Td    Failed                                         
R898  30.9 Td    Failed                                         
R899  31.2 Td    Failed                                         
R900  31.6 Td    Failed                                         
R901  32.0 Td    Failed                                         
R902  32.3 Td    Failed                                         
R903  32.7 Td    Failed                                         
R904  33.1 Td    Failed                                         
R905  33.5 Td    Failed                                         
R906  33.8 Td    Failed                                         
R907  34.2 Td    Failed                                         
R908  34.6 Td    Failed                                         
R909  35.0 Td    Failed                                         
R910  35.4 Td    Failed                                         
R911  35.9 Td    Failed                                         
R912  36.3 Td    Failed                                         
R913  36.7 Td    Failed                                         
R914  37.1 Td    Failed                                         
R915  37.5 Td    Failed                                         
R916  38.0 Td    Failed                                         
R917  38.4 Td    Failed                                         
R918  38.9 Td    Failed                                         
R919  39.3 Td    Failed                                         
R920  39.8 Td    Failed                                         
R921  40.2 Td    Failed                                         
R922  40.7 Td    Failed                                         
R923  41.2 Td    Failed                                         
R924  41.7 Td    Failed                                         
R925  42.1 Td    Failed                                         
R926  42.6 Td    Failed                                         
R927  43.1 Td    Failed                                         
R928  43.6 Td    Failed                                         
R929  44.1 Td    Failed                                         
R930  44.6 Td    Failed                                         
R931  45.1 Td    Failed                                         
R932  45.7 Td    Failed                                         
R933  46.2 Td    Failed                                         
R934  46.7 Td    Failed                                         
R935  47.3 Td    Failed                                         
R936  47.8 Td    Failed                                         
R937  48.4 Td    Failed                                         
R938  48.9 Td    Failed                                         
R939  49.5 Td    Failed                                         
R940  50.1 Td    Failed                                         
R941  50.7 Td    Failed                                         
R942  51.3 Td    Failed                                         
R943  51.8 Td    Failed                                         
R944  52.4 Td    Failed                                         
R945  53.1 Td    Failed                                         
R946  53.7 Td    Failed                                         
R947  54.3 Td    Failed                                         
R948  54.9 Td    Failed                                         
R949  55.6 Td    Failed                                         
R950  56.2 Td    Failed                                         
R951  56.9 Td    Failed                                         
R952  57.5 Td    Failed                                         
R953  58.2 Td    Failed                                         
R954  58.9 Td    Failed                                         
R955  59.5 Td    Failed                                         
R956  60.2 Td    Failed                                         
R957  60.9 Td    Failed                                         
R958  61.6 Td    Failed                                         
R959  62.3 Td    Failed                                         
R960  63.1 Td    Failed                                         
R961  63.8 Td    Failed                                         
R962  64.5 Td    Failed                                         
R963  65.3 Td    Failed                                         
R964  66.0 Td    Failed                                         
R965  66.8 Td    Failed                                         
R966  67.6 Td    Failed                                         
R967  68.4 Td    Failed                                         
R968  69.2 Td    Failed                                         
R969  70.0 Td    Failed                                         
R970  70.8 Td    Failed                                         
R971  71.6 Td    Failed                                         
R972  72.4 Td    Failed                                         
R973  73.3 Td    Failed                                         
R974  74.1 Td    Failed                                         
R975  75.0 Td    Failed                                         
R976  75.8 Td    Failed                                         
R977  76.7 Td    Failed                                         
R978  77.6 Td    Failed                                         
R979  78.5 Td    Failed                                         
R980  79.4 Td    Failed                                         
R981  80.3 Td    Failed                                         
R982  81.3 Td    Failed                                         
R983  82.2 Td    Failed                                         
R984  83.2 Td    Failed                                         
R985  84.1 Td    Failed                                         
R986  85.1 Td    Failed                                         
R987  86.1 Td    Failed                                         
R988  87.1 Td    Failed                                         
R989  88.1 Td    Failed                                         
R990  89.1 Td    Failed                                         
R991  90.1 Td    Failed                                         
R992  91.2 Td    Failed                                         
R993  92.2 Td    Failed                                         
R994  93.3 Td    Failed                                         
R995  94.4 Td    Failed                                         
R996  95.5 Td    Failed                                         
R997  96.6 Td    Failed                                         
R998  97.7 Td    Failed                                         
R999  98.9 Td    Failed                                         
R***  100. Td    Failed                                         
SAVERESULTS
Surge.dat
FINISHED
