BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R147  0.0054 Td    0.255 eV                                     
R148  0.0054 Td    0.258 eV                                     
R149  0.0055 Td    0.261 eV                                     
R150  0.0056 Td    0.264 eV                                     
R151  0.0056 Td    0.267 eV                                     
R152  0.0057 Td    0.271 eV                                     
R153  0.0058 Td    0.274 eV                                     
R154  0.0058 Td    0.277 eV                                     
R155  0.0059 Td    0.280 eV                                     
R156  0.0060 Td    0.284 eV                                     
R157  0.0060 Td    0.287 eV                                     
R158  0.0061 Td    0.291 eV                                     
R159  0.0062 Td    0.294 eV                                     
R160  0.0062 Td    0.298 eV                                     
R161  0.0063 Td    0.301 eV                                     
R162  0.0064 Td    0.305 eV                                     
R163  0.0065 Td    0.308 eV                                     
R164  0.0065 Td    0.312 eV                                     
R165  0.0066 Td    0.316 eV                                     
R166  0.0067 Td    0.320 eV                                     
R167  0.0068 Td    0.323 eV                                     
R168  0.0069 Td    0.327 eV                                     
R169  0.0069 Td    0.331 eV                                     
R170  0.0070 Td    0.335 eV                                     
R171  0.0071 Td    0.339 eV                                     
R172  0.0072 Td    0.343 eV                                     
R173  0.0073 Td    0.348 eV                                     
R174  0.0073 Td    0.352 eV                                     
R175  0.0074 Td    0.356 eV                                     
R176  0.0075 Td    0.360 eV                                     
R177  0.0076 Td    0.365 eV                                     
R178  0.0077 Td    0.369 eV                                     
R179  0.0078 Td    0.373 eV                                     
R180  0.0079 Td    0.378 eV                                     
R181  0.0080 Td    0.382 eV                                     
R182  0.0081 Td    0.387 eV                                     
R183  0.0081 Td    0.392 eV                                     
R184  0.0082 Td    0.397 eV                                     
R185  0.0083 Td    0.401 eV                                     
R186  0.0084 Td    0.406 eV                                     
R187  0.0085 Td    0.411 eV                                     
R188  0.0086 Td    0.416 eV                                     
R189  0.0087 Td    0.421 eV                                     
R190  0.0088 Td    0.426 eV                                     
R191  0.0089 Td    0.431 eV                                     
R192  0.0090 Td    0.437 eV                                     
R193  0.0091 Td    0.442 eV                                     
R194  0.0092 Td    0.447 eV                                     
R195  0.0094 Td    0.453 eV                                     
R196  0.0095 Td    0.458 eV                                     
R197  0.0096 Td    0.464 eV                                     
R198  0.0097 Td    0.469 eV                                     
R199  0.0098 Td    0.475 eV                                     
R200  0.0099 Td    0.481 eV                                     
R201  0.0100 Td    0.487 eV                                     
R202  0.0101 Td    0.493 eV                                     
R203  0.0103 Td    0.499 eV                                     
R204  0.0104 Td    0.505 eV                                     
R205  0.0105 Td    0.511 eV                                     
R206  0.0106 Td    0.517 eV                                     
R207  0.0107 Td    0.524 eV                                     
R208  0.0109 Td    0.530 eV                                     
R209  0.0110 Td    0.537 eV                                     
R210  0.0111 Td    0.543 eV                                     
R211  0.0112 Td    0.550 eV                                     
R212  0.0114 Td    0.557 eV                                     
R213  0.0115 Td    0.564 eV                                     
R214  0.0116 Td    0.570 eV                                     
R215  0.0118 Td    0.578 eV                                     
R216  0.0119 Td    0.585 eV                                     
R217  0.0121 Td    0.592 eV                                     
R218  0.0122 Td    0.599 eV                                     
R219  0.0123 Td    0.607 eV                                     
R220  0.0125 Td    0.614 eV                                     
R221  0.0126 Td    0.622 eV                                     
R222  0.0128 Td    0.629 eV                                     
R223  0.0129 Td    0.637 eV                                     
R224  0.0131 Td    0.645 eV                                     
R225  0.0132 Td    0.653 eV                                     
R226  0.0134 Td    0.661 eV                                     
R227  0.0135 Td    0.669 eV                                     
R228  0.0137 Td    0.678 eV                                     
R229  0.0138 Td    0.686 eV                                     
R230  0.0140 Td    0.695 eV                                     
R231  0.0142 Td    0.704 eV                                     
R232  0.0143 Td    0.712 eV                                     
R233  0.0145 Td    0.721 eV                                     
R234  0.0147 Td    0.730 eV                                     
R235  0.0148 Td    0.739 eV                                     
R236  0.0150 Td    0.749 eV                                     
R237  0.0152 Td    0.758 eV                                     
R238  0.0154 Td    0.768 eV                                     
R239  0.0155 Td    0.777 eV                                     
R240  0.0157 Td    0.787 eV                                     
R241  0.0159 Td    0.797 eV                                     
R242  0.0161 Td    0.807 eV                                     
R243  0.0163 Td    0.817 eV                                     
R244  0.0165 Td    0.828 eV                                     
R245  0.0166 Td    0.838 eV                                     
R246  0.0168 Td    0.849 eV                                     
R247  0.0170 Td    0.859 eV                                     
R248  0.0172 Td    0.870 eV                                     
R249  0.0174 Td    0.881 eV                                     
R250  0.0176 Td    0.893 eV                                     
R251  0.0178 Td    0.904 eV                                     
R252  0.0180 Td    0.916 eV                                     
R253  0.0182 Td    0.927 eV                                     
R254  0.0185 Td    0.939 eV                                     
R255  0.0187 Td    0.951 eV                                     
R256  0.0189 Td    0.963 eV                                     
R257  0.0191 Td    0.976 eV                                     
R258  0.0193 Td    0.988 eV                                     
R259  0.0196 Td    1.00 eV                                      
R260  0.0198 Td    1.01 eV                                      
R261  0.0200 Td    1.03 eV                                      
R262  0.0202 Td    1.04 eV                                      
R263  0.0205 Td    1.05 eV                                      
R264  0.0207 Td    1.07 eV                                      
R265  0.0210 Td    1.08 eV                                      
R266  0.0212 Td    1.10 eV                                      
R267  0.0214 Td    1.11 eV                                      
R268  0.0217 Td    1.12 eV                                      
R269  0.0219 Td    1.14 eV                                      
R270  0.0222 Td    1.15 eV                                      
R271  0.0225 Td    1.17 eV                                      
R272  0.0227 Td    1.18 eV                                      
R273  0.0230 Td    1.20 eV                                      
R274  0.0232 Td    1.22 eV                                      
R275  0.0235 Td    1.23 eV                                      
R276  0.0238 Td    1.25 eV                                      
R277  0.0241 Td    1.26 eV                                      
R278  0.0243 Td    1.28 eV                                      
R279  0.0246 Td    1.30 eV                                      
R280  0.0249 Td    1.32 eV                                      
R281  0.0252 Td    1.33 eV                                      
R282  0.0255 Td    1.35 eV                                      
R283  0.0258 Td    1.37 eV                                      
R284  0.0261 Td    1.39 eV                                      
R285  0.0264 Td    1.41 eV                                      
R286  0.0267 Td    1.43 eV                                      
R287  0.0270 Td    1.44 eV                                      
R288  0.0273 Td    1.46 eV                                      
R289  0.0276 Td    1.48 eV                                      
R290  0.0280 Td    1.50 eV                                      
R291  0.0283 Td    1.52 eV                                      
R292  0.0286 Td    1.55 eV                                      
R293  0.0289 Td    1.57 eV                                      
R294  0.0293 Td    1.59 eV                                      
R295  0.0296 Td    1.61 eV                                      
R296  0.0300 Td    1.63 eV                                      
R297  0.0303 Td    1.65 eV                                      
R298  0.0307 Td    1.68 eV                                      
R299  0.0310 Td    1.70 eV                                      
R300  0.0314 Td    1.72 eV                                      
R301  0.0317 Td    1.75 eV                                      
R302  0.0321 Td    1.77 eV                                      
R303  0.0325 Td    1.80 eV                                      
R304  0.0328 Td    1.82 eV                                      
R305  0.0332 Td    1.85 eV                                      
R306  0.0336 Td    1.87 eV                                      
R307  0.0340 Td    1.90 eV                                      
R308  0.0344 Td    1.93 eV                                      
R309  0.0348 Td    1.95 eV                                      
R310  0.0352 Td    1.98 eV                                      
R311  0.0356 Td    2.01 eV                                      
R312  0.0360 Td    2.04 eV                                      
R313  0.0364 Td    2.07 eV                                      
R314  0.0369 Td    2.10 eV                                      
R315  0.0373 Td    2.13 eV                                      
R316  0.0377 Td    2.16 eV                                      
R317  0.0382 Td    2.19 eV                                      
R318  0.0386 Td    2.22 eV                                      
R319  0.0390 Td    2.26 eV                                      
R320  0.0395 Td    2.29 eV                                      
R321  0.0400 Td    2.32 eV                                      
R322  0.0404 Td    2.36 eV                                      
R323  0.0409 Td    2.39 eV                                      
R324  0.0414 Td    2.43 eV                                      
R325  0.0418 Td    2.46 eV                                      
R326  0.0423 Td    2.50 eV                                      
R327  0.0428 Td    2.54 eV                                      
R328  0.0433 Td    2.58 eV                                      
R329  0.0438 Td    2.62 eV                                      
R330  0.0443 Td    2.66 eV                                      
R331  0.0448 Td    2.70 eV                                      
R332  0.0454 Td    2.74 eV                                      
R333  0.0459 Td    2.78 eV                                      
R334  0.0464 Td    2.82 eV                                      
R335  0.0470 Td    2.87 eV                                      
R336  0.0475 Td    2.91 eV                                      
R337  0.0480 Td    2.95 eV                                      
R338  0.0486 Td    3.00 eV                                      
R339  0.0492 Td    3.05 eV                                      
R340  0.0497 Td    3.09 eV                                      
R341  0.0503 Td    3.14 eV                                      
R342  0.0509 Td    3.19 eV                                      
R343  0.0515 Td    3.24 eV                                      
R344  0.0521 Td    3.29 eV                                      
R345  0.0527 Td    3.34 eV                                      
R346  0.0533 Td    3.40 eV                                      
R347  0.0539 Td    3.45 eV                                      
R348  0.0545 Td    3.50 eV                                      
R349  0.0552 Td    3.56 eV                                      
R350  0.0558 Td    3.61 eV                                      
R351  0.0565 Td    3.67 eV                                      
R352  0.0571 Td    3.72 eV                                      
R353  0.0578 Td    3.78 eV                                      
R354  0.0584 Td    3.84 eV                                      
R355  0.0591 Td    3.90 eV                                      
R356  0.0598 Td    3.95 eV                                      
R357  0.0605 Td    4.01 eV                                      
R358  0.0612 Td    4.07 eV                                      
R359  0.0619 Td    4.13 eV                                      
R360  0.0626 Td    4.19 eV                                      
R361  0.0634 Td    4.26 eV                                      
R362  0.0641 Td    4.32 eV                                      
R363  0.0648 Td    4.38 eV                                      
R364  0.0656 Td    4.44 eV                                      
R365  0.0663 Td    4.50 eV                                      
R366  0.0671 Td    4.57 eV                                      
R367  0.0679 Td    4.63 eV                                      
R368  0.0687 Td    4.69 eV                                      
R369  0.0695 Td    4.75 eV                                      
R370  0.0703 Td    4.82 eV                                      
R371  0.0711 Td    4.88 eV                                      
R372  0.0719 Td    4.94 eV                                      
R373  0.0728 Td    5.00 eV                                      
R374  0.0736 Td    5.06 eV                                      
R375  0.0745 Td    5.13 eV                                      
R376  0.0753 Td    5.19 eV                                      
R377  0.0762 Td    5.25 eV                                      
R378  0.0771 Td    5.31 eV                                      
R379  0.0780 Td    5.37 eV                                      
R380  0.0789 Td    5.43 eV                                      
R381  0.0798 Td    5.49 eV                                      
R382  0.0807 Td    5.55 eV                                      
R383  0.0816 Td    5.61 eV                                      
R384  0.0826 Td    5.67 eV                                      
R385  0.0835 Td    5.72 eV                                      
R386  0.0845 Td    5.78 eV                                      
R387  0.0855 Td    5.84 eV                                      
R388  0.0865 Td    5.89 eV                                      
R389  0.0875 Td    5.95 eV                                      
R390  0.0885 Td    6.00 eV                                      
R391  0.0895 Td    6.06 eV                                      
R392  0.0906 Td    6.11 eV                                      
R393  0.0916 Td    6.16 eV                                      
R394  0.0927 Td    6.21 eV                                      
R395  0.0938 Td    6.26 eV                                      
R396  0.0948 Td    6.31 eV                                      
R397  0.0959 Td    6.36 eV                                      
R398  0.0970 Td    6.41 eV                                      
R399  0.0982 Td    6.46 eV                                      
R400  0.0993 Td    6.51 eV                                      
R401  0.100 Td    6.56 eV                                       
R402  0.102 Td    6.60 eV                                       
R403  0.103 Td    6.65 eV                                       
R404  0.104 Td    6.69 eV                                       
R405  0.105 Td    6.74 eV                                       
R406  0.106 Td    6.78 eV                                       
R407  0.108 Td    6.82 eV                                       
R408  0.109 Td    6.86 eV                                       
R409  0.110 Td    6.90 eV                                       
R410  0.111 Td    6.95 eV                                       
R411  0.113 Td    6.98 eV                                       
R412  0.114 Td    7.02 eV                                       
R413  0.115 Td    7.06 eV                                       
R414  0.117 Td    7.10 eV                                       
R415  0.118 Td    7.14 eV                                       
R416  0.119 Td    7.17 eV                                       
R417  0.121 Td    7.21 eV                                       
R418  0.122 Td    7.24 eV                                       
R419  0.124 Td    7.28 eV                                       
R420  0.125 Td    7.31 eV                                       
R421  0.127 Td    7.34 eV                                       
R422  0.128 Td    7.38 eV                                       
R423  0.129 Td    7.41 eV                                       
R424  0.131 Td    7.44 eV                                       
R425  0.132 Td    7.47 eV                                       
R426  0.134 Td    7.50 eV                                       
R427  0.136 Td    7.53 eV                                       
R428  0.137 Td    7.56 eV                                       
R429  0.139 Td    7.59 eV                                       
R430  0.140 Td    7.62 eV                                       
R431  0.142 Td    7.64 eV                                       
R432  0.144 Td    7.67 eV                                       
R433  0.145 Td    7.70 eV                                       
R434  0.147 Td    7.72 eV                                       
R435  0.149 Td    7.75 eV                                       
R436  0.150 Td    7.77 eV                                       
