BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Hard                                                            
LXCat.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        293.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           500.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    1000.    
Mole fraction Hard                         1.000    
 
 
1.778	0.3229E-13
2.371	0.3722E-13
3.162	0.4292E-13
4.217	0.4951E-13
5.623	0.5712E-13
7.499	0.6592E-13
10.00	0.7609E-13
13.34	0.8784E-13
17.78	0.1014E-12
23.71	0.1171E-12
31.62	0.1352E-12
42.17	0.1561E-12
56.23	0.1802E-12
74.99	0.2081E-12
100.0	0.2403E-12
 
 
E/N (Td)	Momentum frequency /N (m3/s)
0.1000	0.1087E-13
0.1334	0.1220E-13
0.1778	0.1378E-13
0.2371	0.1565E-13
0.3162	0.1785E-13
0.4217	0.2041E-13
0.5623	0.2340E-13
0.7499	0.2688E-13
1.000	0.3091E-13
1.334	0.3559E-13
1.778	0.4100E-13
2.371	0.4727E-13
3.162	0.5452E-13
4.217	0.6289E-13
5.623	0.7258E-13
7.499	0.8376E-13
10.00	0.9669E-13
13.34	0.1116E-12
17.78	0.1289E-12
23.71	0.1488E-12
31.62	0.1718E-12
42.17	0.1984E-12
56.23	0.2291E-12
74.99	0.2645E-12
100.0	0.3054E-12
 
 
E/N (Td)	Power /N (eV m3/s)
0.1000	0.1618E-18
0.1334	0.2564E-18
0.1778	0.4036E-18
0.2371	0.6320E-18
0.3162	0.9855E-18
0.4217	0.1532E-17
0.5623	0.2377E-17
0.7499	0.3680E-17
1.000	0.5689E-17
1.334	0.8788E-17
1.778	0.1356E-16
2.371	0.2092E-16
3.162	0.3226E-16
4.217	0.4973E-16
5.623	0.7664E-16
7.499	0.1181E-15
10.00	0.1819E-15
13.34	0.2802E-15
17.78	0.4316E-15
23.71	0.6648E-15
31.62	0.1024E-14
42.17	0.1577E-14
56.23	0.2428E-14
74.99	0.3740E-14
100.0	0.5759E-14
 
 
E/N (Td)	Elastic power loss /N (eV m3/s)
0.1000	0.1618E-18
0.1334	0.2564E-18
0.1778	0.4036E-18
0.2371	0.6320E-18
0.3162	0.9856E-18
0.4217	0.1532E-17
0.5623	0.2377E-17
0.7499	0.3680E-17
1.000	0.5689E-17
1.334	0.8788E-17
1.778	0.1356E-16
2.371	0.2092E-16
3.162	0.3226E-16
4.217	0.4973E-16
5.623	0.7664E-16
7.499	0.1181E-15
10.00	0.1819E-15
13.34	0.2802E-15
17.78	0.4316E-15
23.71	0.6648E-15
31.62	0.1024E-14
42.17	0.1577E-14
56.23	0.2428E-14
74.99	0.3740E-14
100.0	0.5759E-14
 
 
E/N (Td)	Maximum energy
0.1000	1.084
0.1334	1.084
0.1778	1.297
0.2371	1.552
0.3162	2.221
0.4217	2.657
0.5623	3.179
0.7499	4.550
1.000	5.444
1.334	7.792
1.778	9.323
2.371	13.34
3.162	15.95
4.217	22.77
5.623	27.20
7.499	38.77
10.00	55.25
13.34	65.93
17.78	93.89
23.71	133.7
31.62	159.5
42.17	227.0
56.23	270.8
74.99	385.3
100.0	548.3
 
 
E/N (Td)	# of iterations
0.1000	6.000
0.1334	3.000
0.1778	7.000
0.2371	8.000
0.3162	11.00
0.4217	8.000
0.5623	8.000
0.7499	12.00
1.000	8.000
1.334	12.00
1.778	8.000
2.371	12.00
3.162	8.000
4.217	12.00
5.623	6.000
7.499	11.00
10.00	11.00
13.34	8.000
17.78	12.00
23.71	12.00
31.62	8.000
42.17	12.00
56.23	8.000
74.99	12.00
100.0	12.00
 
 
E/N (Td)	# of grid trials
0.1000	2.000
0.1334	1.000
0.1778	2.000
0.2371	2.000
