BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R668  10.1 Td    74.3 eV                                        
R669  10.3 Td    74.7 eV                                        
R670  10.4 Td    75.1 eV                                        
R671  10.6 Td    75.5 eV                                        
R672  10.7 Td    76.0 eV                                        
R673  10.9 Td    76.4 eV                                        
R674  11.0 Td    76.8 eV                                        
R675  11.2 Td    77.2 eV                                        
R676  11.3 Td    77.7 eV                                        
R677  11.5 Td    78.1 eV                                        
R678  11.6 Td    78.5 eV                                        
R679  11.8 Td    79.0 eV                                        
R680  12.0 Td    79.4 eV                                        
R681  12.1 Td    79.8 eV                                        
R682  12.3 Td    80.3 eV                                        
R683  12.5 Td    80.7 eV                                        
R684  12.7 Td    81.2 eV                                        
R685  12.8 Td    81.6 eV                                        
R686  13.0 Td    82.1 eV                                        
R687  13.2 Td    82.6 eV                                        
R688  13.4 Td    83.0 eV                                        
R689  13.6 Td    83.5 eV                                        
R690  13.7 Td    84.0 eV                                        
R691  13.9 Td    84.5 eV                                        
R692  14.1 Td    84.9 eV                                        
R693  14.3 Td    85.4 eV                                        
R694  14.5 Td    85.9 eV                                        
R695  14.7 Td    86.4 eV                                        
R696  14.9 Td    86.9 eV                                        
R697  15.1 Td    87.4 eV                                        
R698  15.4 Td    87.9 eV                                        
R699  15.6 Td    88.4 eV                                        
R700  15.8 Td    88.9 eV                                        
R701  16.0 Td    89.5 eV                                        
R702  16.2 Td    90.0 eV                                        
R703  16.5 Td    90.5 eV                                        
R704  16.7 Td    91.0 eV                                        
R705  16.9 Td    91.6 eV                                        
R706  17.1 Td    92.1 eV                                        
R707  17.4 Td    92.7 eV                                        
R708  17.6 Td    93.2 eV                                        
R709  17.9 Td    93.8 eV                                        
R710  18.1 Td    94.3 eV                                        
R711  18.4 Td    94.9 eV                                        
R712  18.6 Td    95.5 eV                                        
R713  18.9 Td    96.0 eV                                        
R714  19.2 Td    96.6 eV                                        
R715  19.4 Td    97.2 eV                                        
R716  19.7 Td    97.8 eV                                        
R717  20.0 Td    98.4 eV                                        
R718  20.2 Td    99.0 eV                                        
R719  20.5 Td    99.6 eV                                        
R720  20.8 Td    100. eV                                        
R721  21.1 Td    101. eV                                        
R722  21.4 Td    101. eV                                        
R723  21.7 Td    102. eV                                        
R724  22.0 Td    103. eV                                        
R725  22.3 Td    103. eV                                        
R726  22.6 Td    104. eV                                        
R727  22.9 Td    105. eV                                        
R728  23.2 Td    105. eV                                        
R729  23.6 Td    106. eV                                        
R730  23.9 Td    107. eV                                        
R731  24.2 Td    107. eV                                        
R732  24.6 Td    108. eV                                        
R733  24.9 Td    109. eV                                        
R734  25.3 Td    109. eV                                        
R735  25.6 Td    110. eV                                        
R736  26.0 Td    111. eV                                        
R737  26.3 Td    111. eV                                        
R738  26.7 Td    112. eV                                        
R739  27.1 Td    113. eV                                        
R740  27.4 Td    113. eV                                        
R741  27.8 Td    114. eV                                        
R742  28.2 Td    115. eV                                        
R743  28.6 Td    116. eV                                        
R744  29.0 Td    116. eV                                        
R745  29.4 Td    117. eV                                        
R746  29.8 Td    118. eV                                        
R747  30.2 Td    119. eV                                        
R748  30.7 Td    119. eV                                        
R749  31.1 Td    120. eV                                        
R750  31.5 Td    121. eV                                        
R751  32.0 Td    122. eV                                        
R752  32.4 Td    123. eV                                        
R753  32.8 Td    123. eV                                        
R754  33.3 Td    124. eV                                        
R755  33.8 Td    125. eV                                        
R756  34.2 Td    126. eV                                        
R757  34.7 Td    127. eV                                        
R758  35.2 Td    128. eV                                        
R759  35.7 Td    129. eV                                        
R760  36.2 Td    129. eV                                        
R761  36.7 Td    130. eV                                        
R762  37.2 Td    131. eV                                        
R763  37.7 Td    132. eV                                        
R764  38.2 Td    133. eV                                        
R765  38.8 Td    134. eV                                        
R766  39.3 Td    135. eV                                        
R767  39.9 Td    136. eV                                        
R768  40.4 Td    137. eV                                        
R769  41.0 Td    138. eV                                        
R770  41.6 Td    138. eV                                        
R771  42.1 Td    139. eV                                        
R772  42.7 Td    140. eV                                        
R773  43.3 Td    141. eV                                        
R774  43.9 Td    142. eV                                        
R775  44.5 Td    143. eV                                        
R776  45.1 Td    144. eV                                        
R777  45.8 Td    145. eV                                        
R778  46.4 Td    146. eV                                        
R779  47.1 Td    147. eV                                        
R780  47.7 Td    148. eV                                        
R781  48.4 Td    150. eV                                        
R782  49.1 Td    151. eV                                        
R783  49.7 Td    152. eV                                        
R784  50.4 Td    153. eV                                        
R785  51.1 Td    154. eV                                        
R786  51.8 Td    155. eV                                        
R787  52.6 Td    156. eV                                        
R788  53.3 Td    157. eV                                        
R789  54.0 Td    158. eV                                        
R790  54.8 Td    160. eV                                        
R791  55.6 Td    161. eV                                        
R792  56.3 Td    162. eV                                        
R793  57.1 Td    163. eV                                        
R794  57.9 Td    164. eV                                        
R795  58.7 Td    165. eV                                        
R796  59.5 Td    167. eV                                        
R797  60.4 Td    168. eV                                        
R798  61.2 Td    169. eV                                        
R799  62.1 Td    170. eV                                        
R800  62.9 Td    172. eV                                        
R801  63.8 Td    173. eV                                        
R802  64.7 Td    174. eV                                        
R803  65.6 Td    176. eV                                        
R804  66.5 Td    177. eV                                        
R805  67.4 Td    178. eV                                        
R806  68.4 Td    180. eV                                        
R807  69.3 Td    181. eV                                        
R808  70.3 Td    182. eV                                        
R809  71.3 Td    184. eV                                        
R810  72.3 Td    185. eV                                        
R811  73.3 Td    187. eV                                        
R812  74.3 Td    188. eV                                        
R813  75.3 Td    189. eV                                        
R814  76.4 Td    191. eV                                        
R815  77.4 Td    192. eV                                        
R816  78.5 Td    194. eV                                        
R817  79.6 Td    195. eV                                        
R818  80.7 Td    197. eV                                        
R819  81.8 Td    198. eV                                        
R820  83.0 Td    200. eV                                        
R821  84.1 Td    202. eV                                        
R822  85.3 Td    203. eV                                        
R823  86.5 Td    205. eV                                        
R824  87.7 Td    206. eV                                        
R825  88.9 Td    208. eV                                        
R826  90.1 Td    210. eV                                        
R827  91.4 Td    211. eV                                        
R828  92.7 Td    213. eV                                        
R829  94.0 Td    215. eV                                        
R830  95.3 Td    217. eV                                        
R831  96.6 Td    218. eV                                        
R832  97.9 Td    220. eV                                        
R833  99.3 Td    222. eV                                        
R834  101. Td    224. eV                                        
R835  102. Td    226. eV                                        
R836  104. Td    227. eV                                        
R837  105. Td    229. eV                                        
R838  106. Td    231. eV                                        
R839  108. Td    233. eV                                        
R840  109. Td    235. eV                                        
R841  111. Td    237. eV                                        
R842  112. Td    239. eV                                        
R843  114. Td    241. eV                                        
R844  116. Td    243. eV                                        
R845  117. Td    245. eV                                        
R846  119. Td    247. eV                                        
R847  121. Td    249. eV                                        
R848  122. Td    251. eV                                        
R849  124. Td    253. eV                                        
R850  126. Td    256. eV                                        
R851  127. Td    258. eV                                        
R852  129. Td    260. eV                                        
R853  131. Td    262. eV                                        
R854  133. Td    265. eV                                        
R855  135. Td    267. eV                                        
R856  137. Td    269. eV                                        
R857  138. Td    272. eV                                        
R858  140. Td    274. eV                                        
R859  142. Td    276. eV                                        
R860  144. Td    279. eV                                        
R861  146. Td    281. eV                                        
R862  148. Td    284. eV                                        
R863  150. Td    286. eV                                        
R864  152. Td    289. eV                                        
R865  155. Td    291. eV                                        
R866  157. Td    294. eV                                        
R867  159. Td    297. eV                                        
R868  161. Td    299. eV                                        
R869  163. Td    302. eV                                        
R870  166. Td    305. eV                                        
R871  168. Td    308. eV                                        
R872  170. Td    311. eV                                        
R873  173. Td    313. eV                                        
R874  175. Td    316. eV                                        
R875  178. Td    319. eV                                        
R876  180. Td    322. eV                                        
R877  182. Td    325. eV                                        
R878  185. Td    328. eV                                        
R879  188. Td    332. eV                                        
R880  190. Td    335. eV                                        
R881  193. Td    338. eV                                        
R882  196. Td    341. eV                                        
R883  198. Td    344. eV                                        
R884  201. Td    348. eV                                        
R885  204. Td    351. eV                                        
R886  207. Td    355. eV                                        
R887  210. Td    358. eV                                        
R888  212. Td    362. eV                                        
R889  215. Td    365. eV                                        
R890  218. Td    369. eV                                        
R891  221. Td    373. eV                                        
R892  225. Td    376. eV                                        
R893  228. Td    380. eV                                        
R894  231. Td    384. eV                                        
R895  234. Td    388. eV                                        
R896  237. Td    392. eV                                        
R897  241. Td    396. eV                                        
R898  244. Td    400. eV                                        
R899  247. Td    405. eV                                        
R900  251. Td    409. eV                                        
R901  254. Td    414. eV                                        
R902  258. Td    418. eV                                        
R903  261. Td    423. eV                                        
R904  265. Td    428. eV                                        
R905  269. Td    432. eV                                        
R906  273. Td    438. eV                                        
R907  276. Td    443. eV                                        
R908  280. Td    448. eV                                        
R909  284. Td    454. eV                                        
R910  288. Td    459. eV                                        
R911  292. Td    465. eV                                        
R912  296. Td    471. eV                                        
R913  300. Td    Failed                                         
R914  304. Td    Failed                                         
R915  309. Td    Failed                                         
R916  313. Td    Failed                                         
R917  317. Td    Failed                                         
R918  322. Td    Failed                                         
R919  326. Td    Failed                                         
R920  331. Td    Failed                                         
R921  335. Td    Failed                                         
R922  340. Td    Failed                                         
R923  345. Td    Failed                                         
R924  350. Td    Failed                                         
R925  354. Td    Failed                                         
R926  359. Td    Failed                                         
R927  364. Td    Failed                                         
R928  369. Td    Failed                                         
R929  375. Td    Failed                                         
R930  380. Td    Failed                                         
R931  385. Td    Failed                                         
R932  390. Td    Failed                                         
R933  396. Td    Failed                                         
R934  401. Td    Failed                                         
R935  407. Td    Failed                                         
R936  413. Td    Failed                                         
R937  418. Td    Failed                                         
R938  424. Td    Failed                                         
R939  430. Td    Failed                                         
R940  436. Td    Failed                                         
R941  442. Td    Failed                                         
R942  448. Td    Failed                                         
R943  455. Td    Failed                                         
R944  461. Td    Failed                                         
R945  467. Td    Failed                                         
R946  474. Td    Failed                                         
R947  480. Td    Failed                                         
R948  487. Td    Failed                                         
R949  494. Td    Failed                                         
R950  501. Td    Failed                                         
R951  508. Td    Failed                                         
R952  515. Td    Failed                                         
R953  522. Td    Failed                                         
R954  529. Td    Failed                                         
R955  537. Td    Failed                                         
R956  544. Td    Failed                                         
R957  552. Td    Failed                                         
R958  559. Td    Failed                                         
R959  567. Td    Failed                                         
R960  575. Td    Failed                                         
R961  583. Td    Failed                                         
R962  591. Td    Failed                                         
R963  599. Td    Failed                                         
R964  608. Td    Failed                                         
R965  616. Td    Failed                                         
R966  625. Td    Failed                                         
R967  634. Td    Failed                                         
R968  642. Td    Failed                                         
R969  651. Td    Failed                                         
R970  660. Td    Failed                                         
R971  670. Td    Failed                                         
R972  679. Td    Failed                                         
R973  688. Td    Failed                                         
R974  698. Td    Failed                                         
R975  708. Td    Failed                                         
R976  718. Td    Failed                                         
R977  728. Td    Failed                                         
R978  738. Td    Failed                                         
R979  748. Td    Failed                                         
R980  758. Td    Failed                                         
R981  769. Td    Failed                                         
R982  780. Td    Failed                                         
R983  790. Td    Failed                                         
R984  802. Td    Failed                                         
R985  813. Td    Failed                                         
R986  824. Td    Failed                                         
R987  835. Td    Failed                                         
R988  847. Td    Failed                                         
R989  859. Td    Failed                                         
R990  871. Td    Failed                                         
R991  883. Td    Failed                                         
R992  895. Td    Failed                                         
R993  908. Td    Failed                                         
R994  920. Td    Failed                                         
R995  933. Td    Failed                                         
R996  946. Td    Failed                                         
R997  959. Td    Failed                                         
R998  973. Td    Failed                                         
R999  986. Td    Failed                                         
R***  1000. Td    Failed                                        
SAVERESULTS
Surge.dat
FINISHED
