BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R147  0.0075 Td    3.27 eV                                      
R148  0.0076 Td    3.32 eV                                      
R149  0.0077 Td    3.37 eV                                      
R150  0.0079 Td    3.42 eV                                      
R151  0.0080 Td    3.47 eV                                      
R152  0.0081 Td    3.52 eV                                      
R153  0.0082 Td    3.57 eV                                      
R154  0.0083 Td    3.62 eV                                      
R155  0.0084 Td    3.68 eV                                      
R156  0.0085 Td    3.73 eV                                      
R157  0.0086 Td    3.78 eV                                      
R158  0.0088 Td    3.84 eV                                      
R159  0.0089 Td    3.89 eV                                      
R160  0.0090 Td    3.94 eV                                      
R161  0.0091 Td    4.00 eV                                      
R162  0.0093 Td    4.05 eV                                      
R163  0.0094 Td    4.11 eV                                      
R164  0.0095 Td    4.16 eV                                      
R165  0.0097 Td    4.22 eV                                      
R166  0.0098 Td    4.27 eV                                      
R167  0.0099 Td    4.33 eV                                      
R168  0.0101 Td    4.38 eV                                      
R169  0.0102 Td    4.44 eV                                      
R170  0.0104 Td    4.49 eV                                      
R171  0.0105 Td    4.55 eV                                      
R172  0.0106 Td    4.61 eV                                      
R173  0.0108 Td    4.66 eV                                      
R174  0.0109 Td    4.72 eV                                      
R175  0.0111 Td    4.78 eV                                      
R176  0.0112 Td    4.83 eV                                      
R177  0.0114 Td    4.89 eV                                      
R178  0.0116 Td    4.95 eV                                      
R179  0.0117 Td    5.01 eV                                      
R180  0.0119 Td    5.06 eV                                      
R181  0.0121 Td    5.12 eV                                      
R182  0.0122 Td    5.18 eV                                      
R183  0.0124 Td    5.24 eV                                      
R184  0.0126 Td    5.30 eV                                      
R185  0.0127 Td    5.35 eV                                      
R186  0.0129 Td    5.41 eV                                      
R187  0.0131 Td    5.47 eV                                      
R188  0.0133 Td    5.53 eV                                      
R189  0.0135 Td    5.59 eV                                      
R190  0.0137 Td    5.65 eV                                      
R191  0.0138 Td    5.71 eV                                      
R192  0.0140 Td    5.77 eV                                      
R193  0.0142 Td    5.83 eV                                      
R194  0.0144 Td    5.89 eV                                      
R195  0.0146 Td    5.95 eV                                      
R196  0.0148 Td    6.01 eV                                      
R197  0.0150 Td    6.07 eV                                      
R198  0.0152 Td    6.13 eV                                      
R199  0.0155 Td    6.19 eV                                      
R200  0.0157 Td    6.25 eV                                      
R201  0.0159 Td    6.31 eV                                      
R202  0.0161 Td    6.37 eV                                      
R203  0.0163 Td    6.43 eV                                      
R204  0.0166 Td    6.49 eV                                      
R205  0.0168 Td    6.55 eV                                      
R206  0.0170 Td    6.61 eV                                      
R207  0.0173 Td    6.67 eV                                      
R208  0.0175 Td    6.74 eV                                      
R209  0.0178 Td    6.80 eV                                      
R210  0.0180 Td    6.86 eV                                      
R211  0.0182 Td    6.92 eV                                      
R212  0.0185 Td    6.98 eV                                      
R213  0.0188 Td    7.04 eV                                      
R214  0.0190 Td    7.11 eV                                      
R215  0.0193 Td    7.17 eV                                      
R216  0.0196 Td    7.23 eV                                      
R217  0.0198 Td    7.29 eV                                      
R218  0.0201 Td    7.35 eV                                      
R219  0.0204 Td    7.42 eV                                      
R220  0.0207 Td    7.48 eV                                      
R221  0.0210 Td    7.54 eV                                      
R222  0.0212 Td    7.60 eV                                      
R223  0.0215 Td    7.67 eV                                      
R224  0.0218 Td    7.73 eV                                      
R225  0.0221 Td    7.79 eV                                      
R226  0.0225 Td    7.86 eV                                      
R227  0.0228 Td    7.92 eV                                      
R228  0.0231 Td    7.98 eV                                      
R229  0.0234 Td    8.05 eV                                      
R230  0.0237 Td    8.11 eV                                      
R231  0.0241 Td    8.17 eV                                      
R232  0.0244 Td    8.24 eV                                      
R233  0.0247 Td    8.30 eV                                      
R234  0.0251 Td    8.36 eV                                      
R235  0.0254 Td    8.43 eV                                      
R236  0.0258 Td    8.49 eV                                      
R237  0.0261 Td    8.56 eV                                      
R238  0.0265 Td    8.62 eV                                      
R239  0.0269 Td    8.68 eV                                      
R240  0.0273 Td    8.75 eV                                      
R241  0.0276 Td    8.81 eV                                      
R242  0.0280 Td    8.88 eV                                      
R243  0.0284 Td    8.94 eV                                      
R244  0.0288 Td    9.01 eV                                      
R245  0.0292 Td    9.07 eV                                      
R246  0.0296 Td    9.14 eV                                      
R247  0.0300 Td    9.20 eV                                      
R248  0.0304 Td    9.27 eV                                      
R249  0.0309 Td    9.33 eV                                      
R250  0.0313 Td    9.40 eV                                      
R251  0.0317 Td    9.46 eV                                      
R252  0.0322 Td    9.53 eV                                      
R253  0.0326 Td    9.60 eV                                      
R254  0.0331 Td    9.66 eV                                      
R255  0.0335 Td    9.73 eV                                      
R256  0.0340 Td    9.79 eV                                      
R257  0.0345 Td    9.86 eV                                      
R258  0.0350 Td    9.93 eV                                      
R259  0.0354 Td    9.99 eV                                      
R260  0.0359 Td    10.1 eV                                      
R261  0.0364 Td    10.1 eV                                      
R262  0.0369 Td    10.2 eV                                      
R263  0.0375 Td    10.3 eV                                      
R264  0.0380 Td    10.3 eV                                      
R265  0.0385 Td    10.4 eV                                      
R266  0.0390 Td    10.5 eV                                      
R267  0.0396 Td    10.5 eV                                      
R268  0.0401 Td    10.6 eV                                      
R269  0.0407 Td    10.7 eV                                      
R270  0.0413 Td    10.7 eV                                      
R271  0.0418 Td    10.8 eV                                      
R272  0.0424 Td    10.9 eV                                      
R273  0.0430 Td    10.9 eV                                      
R274  0.0436 Td    11.0 eV                                      
R275  0.0442 Td    11.1 eV                                      
R276  0.0448 Td    11.1 eV                                      
R277  0.0455 Td    11.2 eV                                      
R278  0.0461 Td    11.3 eV                                      
R279  0.0467 Td    11.4 eV                                      
R280  0.0474 Td    11.4 eV                                      
R281  0.0480 Td    11.5 eV                                      
R282  0.0487 Td    11.6 eV                                      
R283  0.0494 Td    11.6 eV                                      
R284  0.0501 Td    11.7 eV                                      
R285  0.0508 Td    11.8 eV                                      
R286  0.0515 Td    11.8 eV                                      
R287  0.0522 Td    11.9 eV                                      
R288  0.0529 Td    12.0 eV                                      
R289  0.0537 Td    12.1 eV                                      
R290  0.0544 Td    12.1 eV                                      
R291  0.0552 Td    12.2 eV                                      
R292  0.0559 Td    12.3 eV                                      
R293  0.0567 Td    12.3 eV                                      
R294  0.0575 Td    12.4 eV                                      
R295  0.0583 Td    12.5 eV                                      
R296  0.0591 Td    12.5 eV                                      
R297  0.0599 Td    12.6 eV                                      
R298  0.0608 Td    12.7 eV                                      
R299  0.0616 Td    12.8 eV                                      
R300  0.0625 Td    12.8 eV                                      
R301  0.0634 Td    12.9 eV                                      
R302  0.0642 Td    13.0 eV                                      
R303  0.0651 Td    13.1 eV                                      
R304  0.0660 Td    13.1 eV                                      
R305  0.0670 Td    13.2 eV                                      
R306  0.0679 Td    13.3 eV                                      
R307  0.0688 Td    13.3 eV                                      
R308  0.0698 Td    13.4 eV                                      
R309  0.0708 Td    13.5 eV                                      
R310  0.0718 Td    13.6 eV                                      
R311  0.0728 Td    13.6 eV                                      
R312  0.0738 Td    13.7 eV                                      
R313  0.0748 Td    13.8 eV                                      
R314  0.0758 Td    13.9 eV                                      
R315  0.0769 Td    13.9 eV                                      
R316  0.0780 Td    14.0 eV                                      
R317  0.0790 Td    14.1 eV                                      
R318  0.0802 Td    14.2 eV                                      
R319  0.0813 Td    14.2 eV                                      
R320  0.0824 Td    14.3 eV                                      
R321  0.0835 Td    14.4 eV                                      
R322  0.0847 Td    14.5 eV                                      
R323  0.0859 Td    14.6 eV                                      
R324  0.0871 Td    14.6 eV                                      
R325  0.0883 Td    14.7 eV                                      
R326  0.0895 Td    14.8 eV                                      
R327  0.0908 Td    14.9 eV                                      
R328  0.0920 Td    14.9 eV                                      
R329  0.0933 Td    15.0 eV                                      
R330  0.0946 Td    15.1 eV                                      
R331  0.0959 Td    15.2 eV                                      
R332  0.0973 Td    15.3 eV                                      
R333  0.0986 Td    15.3 eV                                      
